ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/09/10,TX,202609  ,47214,47295,46747,46984,-194,-0.41%,31951,-,-,46983,46988,49651,24962,,絃,,
2026/09/10,TX,202610  ,47179,47179,46700,47050,-320,-0.68%,3975,47050,11664,47051,47062,47780,39852,,,,
2026/09/10,TX,202610  ,47366,47452,46950,47179,-191,-0.40%,568,-,-,47169,47181,47780,39852,,絃,,
2026/09/10,TX,202611  ,47266,47266,46868,47223,-301,-0.63%,16,47223,362,47215,47228,47932,44435,,,,
2026/09/10,TX,202611  ,47515,47543,47120,47403,-121,-0.25%,52,-,-,47319,47333,47932,44435,,絃,,
2026/09/10,TX,202612  ,47250,47380,47000,47320,-324,-0.68%,18,47353,491,47345,47361,50228,27382,,,,
2026/09/10,TX,202612  ,47300,47500,47300,47460,-184,-0.39%,8,-,-,47440,47464,50228,27382,,絃,,
2026/09/10,TX,202703  ,47550,47698,47550,47698,-420,-0.87%,7,47816,121,47807,47825,50802,32400,,,,
2026/09/10,TX,202703  ,47886,47886,47886,47886,-232,-0.48%,1,-,-,47908,47938,50802,32400,,絃,,
2026/09/10,TX,202706  ,48177,48198,48177,48198,-423,-0.87%,2,48325,71,48310,48340,51411,41461,,,,
2026/09/10,TX,202706  ,48467,48469,48467,48469,-152,-0.31%,2,-,-,48413,48453,51411,41461,,絃,,
2026/09/11,TX,202609  ,45820,46340,45780,46218,-651,-1.39%,58137,46187,88464,46212,46215,49651,24962,,,,
2026/09/11,TX,202609  ,46892,46896,46015,46072,-797,-1.70%,34522,-,-,46071,46090,49651,24962,,絃,,
2026/09/11,TX,202610  ,46041,46500,45960,46380,-670,-1.42%,9371,46372,20086,46373,46380,47780,39852,,,,
2026/09/11,TX,202610  ,46997,47066,46208,46270,-780,-1.66%,685,-,-,46255,46278,47780,39852,,絃,,
2026/09/11,TX,202611  ,46217,46632,46150,46460,-763,-1.62%,56,46543,381,46538,46548,47932,44435,,,,
2026/09/11,TX,202611  ,47226,47226,46399,46403,-820,-1.74%,31,-,-,46432,46460,47932,44435,,絃,,
2026/09/11,TX,202612  ,46450,46630,46281,46630,-723,-1.53%,22,46690,521,46686,46695,50228,27382,,,,
2026/09/11,TX,202612  ,47353,47353,46550,46550,-803,-1.70%,24,-,-,46557,46607,50228,27382,,絃,,
2026/09/11,TX,202703  ,-,-,-,-,-,-,0,47173,125,47164,47182,50802,32400,,,,
2026/09/11,TX,202703  ,47750,47750,47200,47200,-616,-1.29%,4,-,-,47021,47080,50802,32400,,絃,,
2026/09/11,TX,202706  ,47306,47306,47306,47306,-1019,-2.11%,1,47629,73,47616,47642,51411,41461,,,,
2026/09/11,TX,202706  ,47636,47636,47636,47636,-689,-1.43%,1,-,-,47521,47585,51411,41461,,絃,,
2026/09/14,TX,202609  ,46306,46663,46041,46588,401,0.87%,28667,-,-,46552,46589,49651,24962,,絃,,
2026/09/14,TX,202610  ,46490,46812,46224,46743,371,0.80%,1148,-,-,46707,46744,47780,39852,,絃,,
2026/09/14,TX,202611  ,46616,46900,46616,46900,357,0.77%,16,-,-,46859,46908,47932,44435,,絃,,
2026/09/14,TX,202612  ,46827,47100,46827,46970,280,0.60%,19,-,-,46993,47051,50228,27382,,絃,,
2026/09/14,TX,202703  ,47300,47558,47230,47558,385,0.82%,6,-,-,47477,47558,50802,32400,,絃,,
2026/09/14,TX,202706  ,47815,48029,47815,48000,371,0.78%,5,-,-,47947,48034,51411,41461,,絃,,
2026/09/08,TX,202609/202610    ,198,198,176,183,-,-,696,-,-,184,188,238,71,,,678,
2026/09/08,TX,202609/202610    ,188,200,188,200,-,-,20,-,-,198,201,238,71,,絃,77,
2026/09/08,TX,202609/202611    ,352,352,335,337,-,-,129,-,-,336,337,408,305,,,59,
2026/09/08,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,353,359,408,305,,絃,3,
2026/09/08,TX,202609/202612    ,489,489,451,451,-,-,24,-,-,466,474,861,104,,,15,
2026/09/08,TX,202609/202612    ,488,490,488,490,-,-,2,-,-,488,495,861,104,,絃,1,
2026/09/08,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,932,943,855,787,,,11,
2026/09/08,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1436,1459,1515,1347,,,3,
2026/09/08,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,143,-,195,166,,,10,
2026/09/08,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,154,-,195,166,,絃,1,
2026/09/08,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,-,137,133,133,,,6,
2026/09/08,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,529,638,602,,,2,
2026/09/09,TX,202609/202610    ,180,199,168,179,-,-,1925,-,-,180,184,238,71,,,492,
2026/09/09,TX,202609/202610    ,185,185,182,184,-,-,12,-,-,178,185,238,71,,絃,279,
2026/09/09,TX,202609/202611    ,339,339,323,323,-,-,40,-,-,338,343,408,305,,,31,
2026/09/09,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,336,344,408,305,,絃,59,
2026/09/09,TX,202609/202612    ,464,465,440,440,-,-,25,-,-,457,465,861,104,,,3,
2026/09/09,TX,202609/202612    ,471,471,469,469,-,-,5,-,-,458,469,861,104,,絃,11,
2026/09/09,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,926,943,855,787,,,8,
2026/09/09,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,935,954,855,787,,絃,5,
2026/09/09,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1427,1449,1515,1347,,,5,
2026/09/09,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1430,1467,1515,1347,,絃,3,
2026/09/09,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,146,-,195,166,,,7,
2026/09/09,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,155,-,195,166,,絃,6,
2026/09/10,TX,202609/202610    ,194,195,181,181,-,-,2119,-,-,181,185,238,71,,,724,
2026/09/10,TX,202609/202610    ,183,186,170,180,-,-,117,-,-,186,193,238,71,,絃,314,
2026/09/10,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,345,351,408,305,,,13,
2026/09/10,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,336,345,408,305,,絃,49,
2026/09/10,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,475,484,861,104,,,17,
2026/09/10,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,457,476,861,104,,絃,6,
2026/09/10,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,937,948,855,787,,,5,
2026/09/10,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,925,950,855,787,,絃,1,
2026/09/10,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1440,1463,1515,1347,,,2,
2026/09/10,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1430,1465,1515,1347,,絃,2,
2026/09/10,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,150,-,195,166,,,2,
2026/09/10,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,145,189,195,166,,絃,2,
2026/09/10,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,-,129,133,133,,絃,1,
2026/09/10,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,-,638,602,,,2,
2026/09/11,TX,202609/202610    ,190,191,156,167,-,-,6365,-,-,161,167,238,71,,,825,
2026/09/11,TX,202609/202610    ,186,186,181,184,-,-,28,-,-,184,188,238,71,,絃,512,
2026/09/11,TX,202609/202611    ,356,356,340,345,-,-,11,-,-,326,333,408,305,,,30,
2026/09/11,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,361,370,408,305,,絃,26,
2026/09/11,TX,202609/202612    ,491,491,468,468,-,-,9,-,-,474,480,861,104,,,11,
2026/09/11,TX,202609/202612    ,475,475,475,475,-,-,2,-,-,486,517,861,104,,絃,18,
2026/09/11,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,950,990,855,787,,絃,4,
2026/09/11,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1404,1427,1515,1347,,,1,
2026/09/11,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1450,1495,1515,1347,,絃,1,
2026/09/11,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,161,170,195,166,,,14,
2026/09/11,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,170,184,195,166,,絃,5,
2026/09/11,TX,202611/202612    ,136,140,136,140,-,-,2,-,-,116,139,140,133,,,3,
2026/09/11,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,131,149,133,133,,絃,3,
2026/09/14,TX,202609/202610    ,165,165,153,153,-,-,45,-,-,155,160,238,71,,絃,664,
2026/09/14,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,307,323,408,305,,絃,4,
2026/09/14,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,441,476,861,104,,絃,3,
2026/09/14,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,925,970,855,787,,絃,1,
2026/09/14,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1395,1445,1515,1347,,絃,4,
2026/09/14,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,156,164,195,166,,絃,5,
2026/09/14,TX,202610/202612    ,-,-,-,-,-,-,0,-,-,260,307,493,201,,絃,2,
2026/09/14,TX,202610/202703    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,絃,5,
2026/09/14,TX,202610/202706    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,絃,1,
2026/09/14,TX,202611/202612    ,139,139,139,139,-,-,1,-,-,111,139,140,133,,絃,3,
